"age","annualincome","calldroprate","callfailurerate","customersuspended","education","gender","homeowner","maritalstatus","monthlybilledamount","complaints","unpaidmonths","timetoexpiration","occupation","penaltytoswitch","lastmonthusage","unpaidbalance","usesinternetservice","usesvoiceservice","outsidecalls","totalcallduration","avgcallduration","churn"
40,211044,0.05,0,"Yes","High School or below","Female","Yes","Married",47,3,6,76,"Technology Related Job",92,161,87,"No","No",0.34,1506,753,"0"
33,130019,0.06,0.02,"Yes","Bachelor or equivalent","Male","Yes","Married",3,2,6,62,"Technology Related Job",230,43,66,"No","No",0.04,2938,419,"0"
17,189354,0.03,0,"Yes","High School or below","Female","Yes","Single",103,0,7,99,"Technology Related Job",382,420,151,"No","No",0.46,396,396,"1"
70,180563,0.03,0.02,"Yes","High School or below","Male","Yes","Single",63,3,2,18,"Others",30,93,244,"No","No",0.41,248,248,"0"
18,1460,0.06,0.01,"Yes","High School or below","Male","Yes","Single",58,1,3,99,"Others",238,200,215,"No","Yes",0.45,2129,532,"1"
51,122983,0.03,0.03,"Yes","Bachelor or equivalent","Male","Yes","Single",53,3,1,83,"Non-technology Related Job",108,405,34,"No","No",0.97,899,899,"0"
64,189437,0.01,0,"Yes","Bachelor or equivalent","Female","Yes","Married",43,3,7,47,"Technology Related Job",245,467,71,"No","No",0.56,2424,808,"0"
71,44879,0.04,0.02,"Yes","Bachelor or equivalent","Female","Yes","Single",97,3,6,63,"Technology Related Job",306,10,42,"No","No",0.57,2273,454,"1"
23,234084,0.03,0.02,"Yes","Master or equivalent","Male","Yes","Single",10,2,7,42,"Technology Related Job",408,469,196,"No","No",0.89,5882,735,"0"
63,99392,0.02,0,"Yes","Bachelor or equivalent","Female","Yes","Married",85,1,5,9,"Technology Related Job",209,160,169,"No","No",0.43,1979,989,"0"
14,73200,0.04,0.03,"Yes","PhD or equivalent","Female","Yes","Single",7,3,6,28,"Technology Related Job",54,46,227,"No","No",0.31,4593,918,"1"
61,234412,0.06,0,"Yes","High School or below","Male","Yes","Single",66,2,7,50,"Non-technology Related Job",375,320,208,"No","No",0.09,6230,1038,"0"
37,192957,0.01,0.02,"Yes","Master or equivalent","Male","Yes","Married",7,3,2,80,"Others",200,453,122,"No","No",0.68,1141,1141,"1"
13,169930,0.02,0.01,"Yes","High School or below","Male","Yes","Single",15,1,4,0,"Others",296,199,222,"Yes","No",0.09,3841,960,"0"
55,89750,0.07,0.02,"Yes","Master or equivalent","Female","Yes","Single",46,0,5,35,"Technology Related Job",43,319,242,"No","No",0.59,556,278,"1"
79,114098,0.01,0,"Yes","Bachelor or equivalent","Female","Yes","Married",49,0,2,24,"Others",399,422,158,"No","No",0.66,1523,761,"0"
12,174436,0,0,"Yes","High School or below","Female","No","Single",96,1,0,14,"Others",71,183,217,"No","No",0.61,3695,739,"0"
15,77033,0,0.01,"Yes","High School or below","Male","No","Married",24,2,6,52,"Non-technology Related Job",194,441,171,"No","No",0.29,2992,598,"1"
32,93821,0.01,0.02,"Yes","Bachelor or equivalent","Male","Yes","Single",15,0,4,78,"Non-technology Related Job",81,241,47,"No","No",0.7,992,496,"1"
35,87338,0.05,0,"Yes","Bachelor or equivalent","Male","Yes","Single",16,3,4,62,"Others",460,484,182,"No","No",0.41,5408,600,"0"
61,230726,0.03,0.01,"Yes","Master or equivalent","Female","No","Single",103,3,3,21,"Technology Related Job",194,240,67,"No","No",0.77,5551,616,"1"
73,159267,0,0.02,"Yes","High School or below","Male","No","Single",46,0,0,24,"Technology Related Job",450,364,211,"No","No",0.68,6995,635,"1"
37,131891,0.05,0.01,"Yes","Bachelor or equivalent","Male","Yes","Single",19,3,1,79,"Non-technology Related Job",266,329,88,"No","No",0.49,10502,1050,"1"
67,71839,0.07,0.03,"Yes","Bachelor or equivalent","Female","Yes","Married",116,3,7,87,"Others",412,92,84,"No","No",0.39,4686,1171,"1"
32,125295,0.04,0,"Yes","Bachelor or equivalent","Male","Yes","Single",73,2,7,36,"Technology Related Job",128,307,145,"No","No",0.91,2755,688,"1"
53,14599,0.01,0.01,"Yes","High School or below","Female","Yes","Married",100,2,5,67,"Non-technology Related Job",412,87,15,"No","No",0.2,4414,735,"0"
32,177148,0,0.02,"Yes","High School or below","Male","Yes","Single",87,0,4,92,"Non-technology Related Job",426,374,211,"No","No",0.69,3890,555,"1"
72,153814,0.02,0.03,"Yes","Master or equivalent","Female","Yes","Single",55,1,6,87,"Others",86,265,66,"No","No",0.32,4307,538,"0"
77,182969,0.04,0,"Yes","High School or below","Male","Yes","Married",48,0,2,49,"Non-technology Related Job",407,151,73,"No","No",0.61,3480,580,"0"
27,167741,0,0.03,"Yes","High School or below","Female","Yes","Single",54,3,7,28,"Non-technology Related Job",329,449,156,"No","No",0.69,2369,473,"0"
23,214765,0.06,0.01,"Yes","Bachelor or equivalent","Male","Yes","Single",30,0,0,50,"Technology Related Job",173,13,34,"No","No",0.94,626,626,"1"
57,145006,0,0.02,"Yes","Bachelor or equivalent","Female","Yes","Married",98,3,2,10,"Non-technology Related Job",492,274,211,"No","Yes",0.03,1168,1168,"1"
23,248249,0.07,0.03,"Yes","Bachelor or equivalent","Male","Yes","Married",80,1,6,1,"Others",50,180,148,"No","No",0.39,2898,579,"1"
48,223327,0.01,0,"Yes","High School or below","Female","Yes","Married",109,1,4,66,"Technology Related Job",163,200,48,"No","No",0.13,4465,637,"0"
18,34423,0.02,0.02,"Yes","High School or below","Male","Yes","Single",72,3,3,70,"Non-technology Related Job",292,319,158,"No","No",0.61,7422,530,"0"
39,7574,0.03,0,"Yes","Bachelor or equivalent","Female","Yes","Single",88,1,7,96,"Others",243,280,113,"No","No",0.19,2903,483,"1"
