,age,annualincome,calldroprate,callfailurerate,monthlybilledamount,complaints,unpaidmonths,timetoexpiration,penaltytoswitch,lastmonthusage,unpaidbalance,outsidecalls,totalcallduration,avgcallduration,churn,customersuspended_Yes,education_High School or below,education_Master or equivalent,education_PhD or equivalent,gender_Male,homeowner_Yes,maritalstatus_Single,occupation_Others,occupation_Technology Related Job,usesinternetservice_Yes,usesvoiceservice_Yes
0,40,211044,0.05,0.0,47,3,6,76,92,161,87,0.34,1506,753,0,1,1,0,0,0,1,0,0,1,0,0
1,33,130019,0.06,0.02,3,2,6,62,230,43,66,0.04,2938,419,0,1,0,0,0,1,1,0,0,1,0,0
2,17,189354,0.03,0.0,103,0,7,99,382,420,151,0.46,396,396,1,1,1,0,0,0,1,1,0,1,0,0
3,70,180563,0.03,0.02,63,3,2,18,30,93,244,0.41,248,248,0,1,1,0,0,1,1,1,1,0,0,0
4,18,1460,0.06,0.01,58,1,3,99,238,200,215,0.45,2129,532,1,1,1,0,0,1,1,1,1,0,0,1
5,51,122983,0.03,0.03,53,3,1,83,108,405,34,0.97,899,899,0,1,0,0,0,1,1,1,0,0,0,0
6,64,189437,0.01,0.0,43,3,7,47,245,467,71,0.56,2424,808,0,1,0,0,0,0,1,0,0,1,0,0
7,71,44879,0.04,0.02,97,3,6,63,306,10,42,0.57,2273,454,1,1,0,0,0,0,1,1,0,1,0,0
8,23,234084,0.03,0.02,10,2,7,42,408,469,196,0.89,5882,735,0,1,0,1,0,1,1,1,0,1,0,0
9,63,99392,0.02,0.0,85,1,5,9,209,160,169,0.43,1979,989,0,1,0,0,0,0,1,0,0,1,0,0
10,14,73200,0.04,0.03,7,3,6,28,54,46,227,0.31,4593,918,1,1,0,0,1,0,1,1,0,1,0,0
11,61,234412,0.06,0.0,66,2,7,50,375,320,208,0.09,6230,1038,0,1,1,0,0,1,1,1,0,0,0,0
12,37,192957,0.01,0.02,7,3,2,80,200,453,122,0.68,1141,1141,1,1,0,1,0,1,1,0,1,0,0,0
13,13,169930,0.02,0.01,15,1,4,0,296,199,222,0.09,3841,960,0,1,1,0,0,1,1,1,1,0,1,0
14,55,89750,0.07,0.02,46,0,5,35,43,319,242,0.59,556,278,1,1,0,1,0,0,1,1,0,1,0,0
15,79,114098,0.01,0.0,49,0,2,24,399,422,158,0.66,1523,761,0,1,0,0,0,0,1,0,1,0,0,0
16,12,174436,0.0,0.0,96,1,0,14,71,183,217,0.61,3695,739,0,1,1,0,0,0,0,1,1,0,0,0
17,15,77033,0.0,0.01,24,2,6,52,194,441,171,0.29,2992,598,1,1,1,0,0,1,0,0,0,0,0,0
18,32,93821,0.01,0.02,15,0,4,78,81,241,47,0.7,992,496,1,1,0,0,0,1,1,1,0,0,0,0
19,35,87338,0.05,0.0,16,3,4,62,460,484,182,0.41,5408,600,0,1,0,0,0,1,1,1,1,0,0,0
20,61,230726,0.03,0.01,103,3,3,21,194,240,67,0.77,5551,616,1,1,0,1,0,0,0,1,0,1,0,0
21,73,159267,0.0,0.02,46,0,0,24,450,364,211,0.68,6995,635,1,1,1,0,0,1,0,1,0,1,0,0
22,37,131891,0.05,0.01,19,3,1,79,266,329,88,0.49,10502,1050,1,1,0,0,0,1,1,1,0,0,0,0
23,67,71839,0.07,0.03,116,3,7,87,412,92,84,0.39,4686,1171,1,1,0,0,0,0,1,0,1,0,0,0
24,32,125295,0.04,0.0,73,2,7,36,128,307,145,0.91,2755,688,1,1,0,0,0,1,1,1,0,1,0,0
25,53,14599,0.01,0.01,100,2,5,67,412,87,15,0.2,4414,735,0,1,1,0,0,0,1,0,0,0,0,0
26,32,177148,0.0,0.02,87,0,4,92,426,374,211,0.69,3890,555,1,1,1,0,0,1,1,1,0,0,0,0
27,72,153814,0.02,0.03,55,1,6,87,86,265,66,0.32,4307,538,0,1,0,1,0,0,1,1,1,0,0,0
28,77,182969,0.04,0.0,48,0,2,49,407,151,73,0.61,3480,580,0,1,1,0,0,1,1,0,0,0,0,0
29,27,167741,0.0,0.03,54,3,7,28,329,449,156,0.69,2369,473,0,1,1,0,0,0,1,1,0,0,0,0
30,23,214765,0.06,0.01,30,0,0,50,173,13,34,0.94,626,626,1,1,0,0,0,1,1,1,0,1,0,0
