model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,failed_main_inspection,condition
 Golf,2016,9995,Manual,36513,Diesel,0,74.3,1.6,VW,0.0,4
 Q5,2019,47850,Semi-Auto,2132,Diesel,145,34.5,3.0,Audi,0.0,2
 E Class,2017,20700,Automatic,7320,Diesel,30,65.7,2.0,Mercedes,0.0,1
 C Class,2018,18999,Automatic,19890,Petrol,145,50.4,2.0,Mercedes,0.0,2
 Golf,2017,16998,Manual,24160,Petrol,145,47.1,2.0,VW,0.0,3
 A1,2014,11995,Manual,19811,Diesel,0,74.3,1.6,Audi,0.0,1
 Polo,2013,6498,Manual,29637,Petrol,125,51.4,1.2,VW,0.0,1
 A6,2018,26000,Automatic,7368,Diesel,145,50.4,2.0,Audi,0.0,1
 A4,2019,25280,Automatic,2808,Diesel,150,49.6,2.0,Audi,0.0,4
 A Class,2017,13500,Manual,29973,Diesel,150,72.4,1.5,Mercedes,1.0,4
 GLA Class,2018,20810,Automatic,14769,Petrol,145,42.8,2.0,Mercedes,0.0,5
 Q5,2016,20850,Automatic,32089,Diesel,200,47.1,2.0,Audi,0.0,2
 Golf,2015,10680,Manual,53949,Petrol,30,53.3,1.4,VW,1.0,4
 Golf,2016,12499,Manual,6254,Diesel,0,74.3,1.6,VW,0.0,4
 GLC Class,2019,35990,Automatic,3799,Diesel,145,42.2,2.1,Mercedes,0.0,5
 A3,2017,23890,Semi-Auto,20790,Petrol,150,44.1,2.0,Audi,0.0,2
 B Class,2020,26000,Semi-Auto,3200,Diesel,145,55.4,2.0,Mercedes,0.0,4
 Passat,2015,10495,Automatic,42914,Diesel,20,70.6,1.6,VW,0.0,1
 A Class,2016,13823,Automatic,20120,Diesel,0,76.4,1.5,Mercedes,0.0,3
 Q3,2016,21200,Automatic,8744,Petrol,200,40.4,2.0,Audi,0.0,2
 A3,2015,10500,Manual,37514,Diesel,20,68.9,2.0,Audi,0.0,2
 A5,2016,16900,Semi-Auto,24220,Petrol,205,42.2,2.0,Audi,0.0,1
 A1,2016,11120,Manual,18732,Petrol,0,67.3,1.0,Audi,0.0,1
 Golf,2015,7672,Manual,100401,Diesel,0,74.3,1.6,VW,1.0,3
 Golf,2016,11943,Semi-Auto,26996,Petrol,30,53.3,1.4,VW,0.0,5
 A1,2018,15500,Manual,18000,Petrol,145,55.4,1.4,Audi,0.0,2
 A Class,2019,26980,Semi-Auto,12,Petrol,145,28.5,2.0,Mercedes,0.0,1
 A4,2014,12750,Semi-Auto,62283,Diesel,150,53.3,2.0,Audi,1.0,4
 A1,2017,13750,Semi-Auto,20992,Petrol,30,57.6,1.4,Audi,0.0,3
 Polo,2016,9400,Manual,38010,Diesel,0,83.1,1.4,VW,1.0,5
 Q2,2019,23490,Automatic,3162,Diesel,145,46.3,1.6,Audi,0.0,1
 A1,2016,15495,Manual,24917,Petrol,30,56.5,1.4,Audi,0.0,3
 C Class,2016,16998,Semi-Auto,31064,Diesel,20,64.2,2.1,Mercedes,0.0,2
 SL CLASS,2016,49948,Automatic,4960,Petrol,555,28.0,5.5,Mercedes,0.0,2
 A3,2017,13500,Manual,24463,Diesel,145,70.6,1.6,Audi,0.0,3
 E Class,2015,11495,Automatic,104944,Diesel,125,60.1,2.1,Mercedes,0.0,2
 B Class,2015,12995,Automatic,18560,Diesel,20,68.9,2.1,Mercedes,0.0,1
 A1,2017,11551,Manual,18462,Petrol,145,57.6,1.4,Audi,0.0,1
 A4,2017,23490,Automatic,32302,Diesel,145,55.4,3.0,Audi,0.0,2
 A Class,2019,23199,Semi-Auto,1840,Petrol,145,53.3,1.3,Mercedes,0.0,1
 GLA Class,2018,22490,Automatic,25283,Diesel,150,56.5,2.1,Mercedes,0.0,1
 TT,2016,19690,Semi-Auto,42698,Petrol,165,43.5,2.0,Audi,1.0,4
 E Class,2017,20998,Semi-Auto,30700,Diesel,30,65.7,2.0,Mercedes,1.0,3
 GLE Class,2020,61489,Semi-Auto,800,Petrol,145,29.5,3.0,Mercedes,0.0,3
 Q3,2017,25755,Semi-Auto,3061,Petrol,145,40.4,2.0,Audi,0.0,3
 C Class,2014,17250,Automatic,27817,Diesel,125,60.1,2.1,Mercedes,0.0,3
 A3,2015,11211,Manual,20960,Diesel,20,68.9,2.0,Audi,0.0,1
 A3,2018,19261,Manual,24744,Petrol,150,54.3,1.5,Audi,0.0,1
 Polo,2017,11995,Manual,4000,Petrol,20,60.1,1.2,VW,0.0,4
 A3,2019,32400,Semi-Auto,4723,Petrol,145,34.5,2.0,Audi,0.0,1
 GLC Class,2019,32499,Semi-Auto,2520,Diesel,145,41.5,2.1,Mercedes,0.0,4
 Polo,2017,16000,Automatic,13090,Petrol,145,50.4,1.8,VW,0.0,5
 Q3,2019,29950,Manual,1280,Diesel,145,40.9,2.0,Audi,0.0,3
 C Class,2015,13790,Automatic,43200,Petrol,125,52.3,2.0,Mercedes,0.0,2
 Golf,2016,11900,Manual,14521,Diesel,0,74.3,1.6,VW,0.0,3
 TT,2016,16650,Manual,26400,Petrol,160,46.3,2.0,Audi,0.0,3
 C Class,2016,31995,Automatic,16647,Petrol,260,36.2,3.0,Mercedes,1.0,3
 GLE Class,2015,26480,Semi-Auto,23356,Diesel,200,47.9,2.1,Mercedes,0.0,3
 A4,2017,18050,Manual,21273,Diesel,20,68.9,2.0,Audi,0.0,3
 A Class,2016,15599,Automatic,25796,Diesel,20,68.9,2.1,Mercedes,0.0,4
 B Class,2016,12899,Manual,12480,Petrol,145,49.6,1.6,Mercedes,0.0,4
 Polo,2012,5450,Manual,49945,Petrol,125,51.4,1.2,VW,0.0,3
 A4,2018,28995,Semi-Auto,8837,Diesel,145,56.5,2.0,Audi,0.0,2
 Golf,2016,16800,Manual,13076,Petrol,145,47.1,2.0,VW,0.0,5
 Q3,2019,32970,Semi-Auto,1569,Petrol,145,31.4,2.0,Audi,0.0,1
 3 Series,2013,9985,Manual,60448,Diesel,20,68.9,2.0,BMW,0.0,3
 A1,2020,18330,Manual,1057,Petrol,145,49.6,1.0,Audi,0.0,1
 Golf,2014,8407,Manual,36799,Diesel,0,68.9,1.6,VW,0.0,2
 E Class,2016,19971,Automatic,30274,Diesel,145,54.3,3.0,Mercedes,0.0,2
 E Class,2016,17495,Automatic,32000,Diesel,145,54.3,3.0,Mercedes,0.0,3
 CL Class,2017,18990,Semi-Auto,16639,Diesel,145,67.3,2.1,Mercedes,0.0,4
 Polo,2017,11995,Semi-Auto,25138,Petrol,145,60.1,1.2,VW,0.0,4
 Passat,2015,8400,Manual,64918,Diesel,20,68.9,2.0,VW,0.0,1
 Up,2017,6998,Manual,18384,Petrol,20,62.8,1.0,VW,0.0,4
 A3,2010,4490,Manual,150225,Diesel,125,57.6,2.0,Audi,1.0,2
 Polo,2017,10691,Manual,39526,Petrol,150,60.1,1.2,VW,1.0,3
 Polo,2017,9498,Manual,46277,Petrol,145,60.1,1.2,VW,1.0,3
 Q7,2019,45991,Semi-Auto,22,Diesel,145,33.2,3.0,Audi,0.0,3
 Polo,2016,8500,Manual,21739,Petrol,20,60.1,1.0,VW,0.0,1
 C Class,2018,25999,Semi-Auto,9006,Diesel,145,65.7,2.1,Mercedes,0.0,5
 C Class,2019,20980,Semi-Auto,10916,Diesel,145,61.4,2.0,Mercedes,0.0,5
 Touareg,2014,15590,Automatic,62412,Diesel,300,39.2,3.0,VW,0.0,1
 A3,2015,10977,Manual,48000,Diesel,20,68.9,2.0,Audi,0.0,4
 A Class,2019,26470,Automatic,4096,Diesel,145,56.5,2.0,Mercedes,0.0,3
 CLS Class,2019,44995,Automatic,3410,Diesel,145,48.7,2.9,Mercedes,0.0,1
 C Class,2019,35299,Semi-Auto,80,Diesel,145,55.4,2.0,Mercedes,0.0,1
 Q5,2018,39990,Semi-Auto,19386,Petrol,145,34.0,3.0,Audi,0.0,5
 Q2,2019,28490,Automatic,5460,Petrol,145,33.2,2.0,Audi,0.0,1
 GLC Class,2019,40260,Semi-Auto,9908,Petrol,145,40.9,2.0,Mercedes,0.0,4
 A3,2019,20630,Manual,4737,Diesel,145,51.4,1.6,Audi,0.0,5
 C Class,2019,24980,Automatic,12000,Diesel,145,60.1,1.6,Mercedes,0.0,4
 C Class,2020,33998,Automatic,1600,Diesel,145,64.2,2.0,Mercedes,0.0,2
 B Class,2017,13980,Manual,13922,Diesel,145,68.9,1.5,Mercedes,0.0,3
 Golf,2017,17000,Manual,23485,Diesel,20,67.3,2.0,VW,0.0,3
 A Class,2018,16000,Automatic,18700,Diesel,150,74.3,1.5,Mercedes,0.0,2
 C Class,2017,15699,Automatic,26855,Petrol,125,53.3,2.0,Mercedes,0.0,3
 C Class,2015,11591,Manual,75200,Diesel,20,68.9,2.1,Mercedes,0.0,3
 A3,2011,5899,Manual,68196,Diesel,30,65.7,1.6,Audi,0.0,4
 Touran,2016,16799,Automatic,22964,Diesel,125,60.1,2.0,VW,0.0,3
 Q5,2016,26390,Semi-Auto,30117,Diesel,240,42.8,3.0,Audi,0.0,2
 Golf,2015,9450,Manual,57803,Diesel,0,68.9,1.6,VW,1.0,3
 A Class,2014,11498,Manual,84449,Diesel,20,70.6,1.5,Mercedes,1.0,3
 Q3,2014,13549,Manual,30592,Diesel,145,54.3,2.0,Audi,0.0,3
 A4,2013,8995,Manual,50400,Diesel,30,65.7,2.0,Audi,0.0,4
 A3,2019,18160,Semi-Auto,9246,Diesel,145,52.3,1.6,Audi,0.0,2
 A4,2016,13500,Manual,18569,Petrol,125,53.3,1.4,Audi,0.0,4
 GLE Class,2018,41501,Semi-Auto,12802,Petrol,145,31.7,3.0,Mercedes,0.0,3
 CL Class,2015,18216,Automatic,11340,Diesel,20,67.3,2.1,Mercedes,0.0,2
 Golf,2016,12221,Manual,19181,Diesel,0,74.3,1.6,VW,0.0,4
 GLA Class,2016,18590,Semi-Auto,17307,Diesel,125,56.5,2.1,Mercedes,0.0,4
 Golf,2017,18678,Manual,11124,Diesel,145,60.1,2.0,VW,0.0,5
 Scirocco,2016,13500,Manual,32933,Diesel,20,55.4,2.0,VW,0.0,1
 Q3,2018,18900,Manual,6848,Petrol,145,51.4,1.4,Audi,0.0,4
 TT,2019,32990,Automatic,4800,Petrol,145,34.0,2.0,Audi,0.0,1
 CLS Class,2015,20498,Semi-Auto,26469,Diesel,165,51.4,3.0,Mercedes,0.0,1
 A Class,2017,16199,Automatic,28775,Diesel,145,74.3,1.5,Mercedes,0.0,1
 E Class,2019,34980,Semi-Auto,3133,Diesel,145,53.3,2.0,Mercedes,0.0,1
 Golf,2015,11794,Manual,71568,Diesel,20,67.3,2.0,VW,0.0,2
 Up,2016,7800,Manual,36974,Petrol,20,61.4,1.0,VW,1.0,3
 Q2,2019,25000,Automatic,5056,Petrol,145,40.9,1.5,Audi,0.0,4
 GLC Class,2019,41890,Automatic,2000,Diesel,145,40.9,2.0,Mercedes,0.0,1
 A Class,2019,24519,Semi-Auto,800,Diesel,145,56.5,2.0,Mercedes,0.0,4
 A4,2020,34950,Automatic,4400,Diesel,145,49.6,2.0,Audi,0.0,2
 Golf,2017,12990,Manual,31022,Petrol,145,54.3,1.4,VW,1.0,2
 A Class,2017,28980,Automatic,19924,Petrol,145,40.9,2.0,Mercedes,0.0,3
 A4,2019,26490,Manual,4000,Petrol,145,38.2,2.0,Audi,0.0,3
 E Class,2016,18999,Automatic,12316,Diesel,20,72.4,2.0,Mercedes,0.0,3
 A3,2017,14000,Manual,27734,Diesel,150,68.9,1.6,Audi,0.0,1
 A1,2019,22950,Semi-Auto,5396,Petrol,145,47.1,1.0,Audi,0.0,3
