movieId,title,year,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Thriller,War,Western,rating
1,Toy Story,1995,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.8724696356275294
2,Jumanji,1995,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.4018691588785046
3,Grumpier Old Men,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.1610169491525424
4,Waiting to Exhale,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2.3846153846153846
5,Father of the Bride Part II,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2678571428571432
6,Heat,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.8846153846153846
7,Sabrina,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.2830188679245285
8,Tom and Huck,1995,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8
9,Sudden Death,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15
10,GoldenEye,1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.450819672131148
11,"American President, The",1995,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.6890243902439024
12,Dracula: Dead and Loving It,1995,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2.861111111111111
13,Balto,1995,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9375
14,Nixon,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.4516129032258065
15,Cutthroat Island,1995,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.3181818181818183
16,Casino,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.948863636363636
17,Sense and Sensibility,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.924418604651162
18,Four Rooms,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2884615384615383
19,Ace Ventura: When Nature Calls,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.597826086956522
20,Money Train,1995,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2.5384615384615383
21,Get Shorty,1995,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3.5368421052631582
22,Copycat,1995,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,3.3552631578947367
23,Assassins,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.0909090909090913
24,Powder,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.044117647058824
25,Leaving Las Vegas,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.7425742574257432
26,Othello,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.1
27,Now and Then,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1428571428571432
28,Persuasion,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.083333333333333
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,4.025
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.05
31,Dangerous Minds,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1785714285714284
34,Babe,1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.6013513513513518
35,Carrington,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.5454545454545454
36,Dead Man Walking,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.9375
37,Across the Sea of Time,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.0
38,It Takes Two,1995,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
39,Clueless,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.55
40,"Cry, the Beloved Country",1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.9166666666666665
41,Richard III,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.021739130434782
42,Dead Presidents,1995,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2.333333333333333
43,Restoration,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.625
44,Mortal Kombat,1995,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.6973684210526314
45,To Die For,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,3.5232558139534884
46,How to Make an American Quilt,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.1666666666666665
48,Pocahontas,1995,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2.9262295081967213
49,When Night Is Falling,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.0
50,"Usual Suspects, The",1995,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4.370646766169155
52,Mighty Aphrodite,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.637254901960784
53,Lamerica,1994,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0
54,"Big Green, The",1995,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6666666666666665
55,Georgia,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.333333333333333
57,Home for the Holidays,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1428571428571432
58,"Postman, The (Postino, Il)",1994,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4.0
59,"Confessional, The (Confessionnal, Le)",1995,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4.0
60,"Indian in the Cupboard, The",1995,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.828125
61,Eye for an Eye,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.571428571428572
62,Mr. Holland's Opus,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.689655172413793
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.833333333333333
64,Two if by Sea,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.4
65,Bio-Dome,1996,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.025
68,French Twist (Gazon maudit),1995,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5
69,Friday,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8181818181818175
70,From Dusk Till Dawn,1996,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3.020833333333333
71,Fair Game,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4285714285714284
72,Kicking and Screaming,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1666666666666665
73,"Misérables, Les",1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.115384615384615
74,Bed of Roses,1996,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.0263157894736836
76,Screamers,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.333333333333333
77,Nico Icon,1995,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4.0
78,"Crossing Guard, The",1995,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3.2
79,"Juror, The",1996,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.9615384615384617
80,"White Balloon, The (Badkonake sefid)",1995,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.625
81,Things to Do in Denver When You're Dead,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3.25
82,Antonia's Line (Antonia),1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.8
83,Once Upon a Time... When We Were Colored,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.0
84,Last Summer in the Hamptons,1995,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.0
85,Angels and Insects,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.0625
86,White Squall,1996,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.7647058823529416
