zu_zahlender_zins,darlehenssumme,rueckzahldauer,einkommen_monat,haus,oeffentliche_mahnverfahren_10_Jahre,kreditanfrage_6_monate,offene_forderungen,anzahl_kredite,ratio_schulden_zu_einkommen,monatliches_payment,investoren,investment_freunde,ausfall
0.2248,4000,36,3656.666667,True,2,8,4,6,0.26,153.76,50,0.0,1
0.0924,6500,36,7834.916667,False,0,0,0,7,0.23,189.26,62,1550.0,0
0.0749,5000,12,6250.0,False,0,0,0,13,0.18,433.76,21,0.0,0
0.35,4000,36,3333.333333,False,0,4,0,8,0.2,180.94,65,0.0,0
0.29,2500,36,4000.0,False,0,1,2,12,0.43,104.76,7,0.0,1
0.1499,2000,36,6666.666667,True,0,2,0,9,0.37,69.32,38,0.0,0
0.24,2500,36,5000.0,False,1,8,0,13,0.3,98.08,30,0.0,0
0.07,1000,36,8534.916667,False,0,0,0,9,0.12,30.88,31,0.0,0
0.31,5000,36,6583.333333,True,0,3,0,20,0.16,215.01,68,0.0,1
0.1499,4500,36,4416.666667,False,0,0,0,5,0.06,155.97,91,0.0,0
0.35,1200,36,5208.333333,False,2,4,11,5,0.2,54.28,5,0.0,1
0.1799,3500,36,2413.666667,False,0,0,0,4,0.13,126.52,16,0.0,0
0.0565,2595,12,7916.666667,False,0,0,0,12,0.18,222.93,54,0.0,0
0.2573,10000,60,4666.666667,False,0,5,0,7,0.21,297.81,40,0.0,1
0.076,1000,36,1200.0,False,0,0,0,2,0.1,31.15,33,0.0,0
0.2384,4000,12,3216.916667,True,0,1,2,9,0.55,377.93,11,0.0,0
0.28,2000,36,2719.583333,True,0,2,0,9,0.28,82.73,89,0.0,0
0.2039,19000,60,2839.25,False,0,0,0,5,0.31,507.52,19,0.0,0
0.3102,3400,36,5608.333333,True,1,0,0,13,0.24,146.24,33,0.0,0
0.1299,5000,36,2250.0,False,2,8,0,7,0.36,168.45,184,0.0,0
0.14,25000,36,8333.333333,True,0,1,0,18,0.3,854.44,227,0.0,1
0.08,4200,36,8750.0,True,0,0,0,12,0.1,131.61,140,0.0,0
0.3177,4000,36,4333.333333,True,0,2,1,14,0.39,173.71,56,0.0,0
0.2899,7500,36,9000.0,True,0,2,0,15,0.26,314.25,73,0.0,0
0.3498,3000,36,2416.666667,True,0,0,0,2,0.07,135.67,50,0.0,1
0.1385,6000,36,5166.666667,True,0,3,0,6,0.18,204.63,169,0.0,0
0.1523,9999,36,3208.333333,False,0,4,0,17,0.36,345.72,194,0.0,0
0.2071,3500,36,7000.0,False,1,5,6,2,0.05,131.34,45,0.0,1
0.082,3000,36,2750.0,False,0,0,0,5,0.07,94.29,78,0.0,0
0.3,2750,36,1583.333333,True,1,2,0,11,0.28,116.74,45,0.0,1
0.1299,7500,36,5416.666667,True,0,1,0,13,0.48,252.67,98,0.0,0
0.205,3000,36,3161.083333,False,2,2,4,0,0.03,0.0,113,0.0,0
0.16,1000,36,6500.0,True,1,3,6,5,0.14,35.16,42,0.0,0
0.21,7500,36,4166.666667,False,0,1,0,8,0.37,282.56,158,0.0,0
0.1032,1200,36,7083.333333,True,0,3,0,11,0.22,0.0,22,0.0,0
0.1551,2000,60,2666.666667,True,0,0,0,5,0.15,48.12,42,0.0,0
0.2495,5000,36,4375.0,False,0,1,0,8,0.27,198.67,269,0.0,0
0.0649,2000,12,8833.333333,False,0,0,0,4,0.03,172.58,32,0.0,0
0.183,5000,36,5000.0,False,0,4,0,2,0.21,181.52,190,0.0,1
0.107,2500,36,3333.333333,False,0,0,0,2,0.03,81.49,100,700.0,0
0.0735,2000,36,4166.666667,True,0,3,0,13,0.11,62.07,69,0.0,0
0.1555,2100,36,3208.333333,True,0,2,2,4,0.09,73.36,22,0.0,0
0.1449,10000,36,6250.0,False,0,0,0,5,0.13,344.16,22,0.0,0
0.35,5000,36,1750.0,False,0,0,1,2,0.22,226.18,30,0.0,0
0.2561,2000,36,6500.0,True,0,3,0,13,0.18,80.17,19,0.0,1
0.1414,4800,36,2666.666667,False,0,0,0,8,0.34,164.38,37,0.0,1
0.2171,1000,36,4833.333333,True,0,4,0,11,0.48,0.0,4,0.0,1
0.2218,13000,60,5416.666667,True,0,2,1,11,0.12,360.38,27,0.0,0
0.3199,7000,36,2833.333333,True,0,1,1,15,0.35,304.84,129,0.0,1
0.35,2500,36,2250.0,False,0,0,0,11,0.29,113.09,49,0.0,0
0.2099,15000,36,15000.0,True,0,1,0,10,0.14,565.05,35,0.0,0
0.2049,6000,36,5416.666667,True,1,1,0,14,0.32,224.48,113,0.0,0
0.1695,2500,36,2833.333333,False,1,0,0,3,0.27,89.07,81,0.0,0
0.2284,11500,60,3583.333333,False,0,0,1,12,0.31,323.13,1,0.0,0
0.2599,9000,36,1250.0,False,0,2,0,16,2.19,362.57,55,0.0,1
0.25,1500,36,5416.666667,True,0,0,0,4,0.09,59.64,43,0.0,0
0.3199,2000,36,2880.0,True,0,1,0,16,0.48,87.1,6,0.0,1
0.087,10000,36,5455.5,False,0,1,0,12,0.2,316.6,184,0.0,0
0.227,7000,36,3640.0,True,0,0,0,11,0.36,269.87,293,0.0,1
0.1515,5000,36,2000.0,False,0,2,2,16,0.54,170.7,107,0.0,0
