,zu_zahlender_zins,darlehenssumme,kreditsumme,einkommen_monat,haus,oeffentliche_mahnverfahren_10_Jahre,kreditanfrage_6_monate,offene_forderungen,anzahl_kredite,ratio_schulden_zu_einkommen,monatliches_payment,investoren,investment_freunde,ausfall
0,0.2248,4000,36,3656.666667,True,2,8,4,6,0.26,153.76,50,0.0,1
1,0.0924,6500,36,7834.916667,False,0,0,0,7,0.23,189.26,62,1550.0,0
3,0.0749,5000,12,6250.0,False,0,0,0,13,0.18,433.76,21,0.0,0
5,0.35,4000,36,3333.333333,False,0,4,0,8,0.2,180.94,65,0.0,0
6,0.29,2500,36,4000.0,False,0,1,2,12,0.43,104.76,7,0.0,1
7,0.1499,2000,36,6666.666667,True,0,2,0,9,0.37,69.32,38,0.0,0
8,0.24,2500,36,5000.0,False,1,8,0,13,0.3,98.08,30,0.0,0
9,0.07,1000,36,8534.916667,False,0,0,0,9,0.12,30.88,31,0.0,0
10,0.31,5000,36,6583.333333,True,0,3,0,20,0.16,215.01,68,0.0,1
11,0.1499,4500,36,4416.666667,False,0,0,0,5,0.06,155.97,91,0.0,0
12,0.35,1200,36,5208.333333,False,2,4,11,5,0.2,54.28,5,0.0,1
13,0.1799,3500,36,2413.666667,False,0,0,0,4,0.13,126.52,16,0.0,0
14,0.0565,2595,12,7916.666667,False,0,0,0,12,0.18,222.93,54,0.0,0
15,0.2573,10000,60,4666.666667,False,0,5,0,7,0.21,297.81,40,0.0,1
16,0.076,1000,36,1200.0,False,0,0,0,2,0.1,31.15,33,0.0,0
17,0.2384,4000,12,3216.916667,True,0,1,2,9,0.55,377.93,11,0.0,0
18,0.28,2000,36,2719.583333,True,0,2,0,9,0.28,82.73,89,0.0,0
19,0.2039,19000,60,2839.25,False,0,0,0,5,0.31,507.52,19,0.0,0
20,0.3102,3400,36,5608.333333,True,1,0,0,13,0.24,146.24,33,0.0,0
21,0.1299,5000,36,2250.0,False,2,8,0,7,0.36,168.45,184,0.0,0
22,0.14,25000,36,8333.333333,True,0,1,0,18,0.3,854.44,227,0.0,1
23,0.08,4200,36,8750.0,True,0,0,0,12,0.1,131.61,140,0.0,0
24,0.3177,4000,36,4333.333333,True,0,2,1,14,0.39,173.71,56,0.0,0
25,0.2899,7500,36,9000.0,True,0,2,0,15,0.26,314.25,73,0.0,0
26,0.3498,3000,36,2416.666667,True,0,0,0,2,0.07,135.67,50,0.0,1
27,0.1385,6000,36,5166.666667,True,0,3,0,6,0.18,204.63,169,0.0,0
28,0.1523,9999,36,3208.333333,False,0,4,0,17,0.36,345.72,194,0.0,0
29,0.2071,3500,36,7000.0,False,1,5,6,2,0.05,131.34,45,0.0,1
30,0.082,3000,36,2750.0,False,0,0,0,5,0.07,94.29,78,0.0,0
