"gender","wave","match","attr1_1","sinc1_1","intel1_1","fun1_1"
0,1,0,15,20,20,15
0,1,0,15,20,20,15
0,1,1,15,20,20,15
0,1,1,15,20,20,15
0,1,1,15,20,20,15
0,1,0,15,20,20,15
0,1,0,15,20,20,15
0,1,0,15,20,20,15
0,1,1,15,20,20,15
0,1,0,15,20,20,15
0,1,0,45,5,25,20
0,1,0,45,5,25,20
0,1,0,45,5,25,20
0,1,1,45,5,25,20
0,1,0,45,5,25,20
0,1,0,45,5,25,20
0,1,0,45,5,25,20
0,1,0,45,5,25,20
0,1,1,45,5,25,20
0,1,0,45,5,25,20
0,1,0,35,10,35,10
0,1,0,35,10,35,10
0,1,0,35,10,35,10
0,1,0,35,10,35,10
0,1,0,35,10,35,10
0,1,0,35,10,35,10
0,1,0,35,10,35,10
0,1,0,35,10,35,10
0,1,0,35,10,35,10
0,1,0,35,10,35,10
0,1,0,20,20,20,20
0,1,0,20,20,20,20
0,1,0,20,20,20,20
0,1,1,20,20,20,20
0,1,0,20,20,20,20
0,1,0,20,20,20,20
0,1,0,20,20,20,20
0,1,0,20,20,20,20
0,1,1,20,20,20,20
0,1,0,20,20,20,20
0,1,0,20,5,25,25
0,1,0,20,5,25,25
0,1,0,20,5,25,25
0,1,1,20,5,25,25
0,1,0,20,5,25,25
0,1,0,20,5,25,25
0,1,0,20,5,25,25
0,1,0,20,5,25,25
0,1,1,20,5,25,25
0,1,0,20,5,25,25
0,1,0,10,25,20,25
0,1,0,10,25,20,25
0,1,0,10,25,20,25
0,1,1,10,25,20,25
0,1,0,10,25,20,25
0,1,0,10,25,20,25
0,1,0,10,25,20,25
0,1,0,10,25,20,25
0,1,1,10,25,20,25
0,1,0,10,25,20,25
0,1,0,15,15,25,20
0,1,0,15,15,25,20
0,1,0,15,15,25,20
0,1,1,15,15,25,20
0,1,0,15,15,25,20
0,1,0,15,15,25,20
0,1,0,15,15,25,20
0,1,0,15,15,25,20
0,1,1,15,15,25,20
0,1,0,15,15,25,20
0,1,0,9.09,18.18,27.27,18.18
0,1,1,9.09,18.18,27.27,18.18
0,1,1,9.09,18.18,27.27,18.18
0,1,1,9.09,18.18,27.27,18.18
0,1,1,9.09,18.18,27.27,18.18
0,1,1,9.09,18.18,27.27,18.18
0,1,0,9.09,18.18,27.27,18.18
0,1,1,9.09,18.18,27.27,18.18
0,1,1,9.09,18.18,27.27,18.18
0,1,1,9.09,18.18,27.27,18.18
0,1,0,20,10,20,30
0,1,1,20,10,20,30
0,1,1,20,10,20,30
0,1,1,20,10,20,30
0,1,1,20,10,20,30
0,1,1,20,10,20,30
0,1,1,20,10,20,30
0,1,0,20,10,20,30
0,1,1,20,10,20,30
0,1,0,20,10,20,30
0,1,0,15,15,15,40
0,1,0,15,15,15,40
0,1,1,15,15,15,40
0,1,0,15,15,15,40
0,1,0,15,15,15,40
0,1,0,15,15,15,40
0,1,0,15,15,15,40
0,1,0,15,15,15,40
0,1,1,15,15,15,40
0,1,0,15,15,15,40
1,1,0,35,20,20,20
1,1,0,35,20,20,20
1,1,0,35,20,20,20
1,1,0,35,20,20,20
1,1,0,35,20,20,20
1,1,0,35,20,20,20
1,1,0,35,20,20,20
1,1,0,35,20,20,20
1,1,0,35,20,20,20
1,1,0,35,20,20,20
1,1,0,60,0,0,40
1,1,0,60,0,0,40
1,1,0,60,0,0,40
1,1,0,60,0,0,40
1,1,0,60,0,0,40
1,1,0,60,0,0,40
1,1,0,60,0,0,40
1,1,1,60,0,0,40
1,1,1,60,0,0,40
1,1,0,60,0,0,40
1,1,1,19,18,19,18
1,1,0,19,18,19,18
1,1,0,19,18,19,18
1,1,0,19,18,19,18
1,1,0,19,18,19,18
1,1,0,19,18,19,18
1,1,0,19,18,19,18
1,1,1,19,18,19,18
1,1,1,19,18,19,18
1,1,1,19,18,19,18
1,1,1,30,5,15,40
1,1,1,30,5,15,40
