temp,fog,rain,snow,conds,vis,date
5.6,0,0,0,Overcast,16.1,01-01-16 0:51
5,0,0,0,Overcast,16.1,01-01-16 1:51
5,0,0,0,Overcast,16.1,01-01-16 2:51
5,0,0,0,Overcast,16.1,01-01-16 3:51
4.4,0,0,0,Overcast,16.1,01-01-16 4:51
4.4,0,0,0,Overcast,16.1,01-01-16 5:51
3.9,0,0,0,Overcast,16.1,01-01-16 6:51
3.9,0,0,0,Overcast,16.1,01-01-16 7:51
3.9,0,0,0,Partly Cloudy,16.1,01-01-16 8:51
4.4,0,0,0,Overcast,16.1,01-01-16 9:51
4.4,0,0,0,Overcast,16.1,01-01-16 10:51
4.4,0,0,0,Overcast,16.1,01-01-16 11:51
4.4,0,0,0,Overcast,16.1,01-01-16 12:51
4.4,0,0,0,Overcast,16.1,01-01-16 13:51
3.9,0,0,0,Overcast,16.1,01-01-16 14:51
3.9,0,0,0,Overcast,16.1,01-01-16 15:51
3.3,0,0,0,Clear,16.1,01-01-16 16:51
3.3,0,0,0,Clear,16.1,01-01-16 17:51
2.8,0,0,0,Partly Cloudy,16.1,01-01-16 18:51
2.8,0,0,0,Clear,16.1,01-01-16 19:51
2.2,0,0,0,Clear,16.1,01-01-16 20:51
1.7,0,0,0,Clear,16.1,01-01-16 21:51
1.7,0,0,0,Clear,16.1,01-01-16 22:51
1.7,0,0,0,Clear,16.1,01-01-16 23:51
10,0,0,0,Clear,16.1,02-01-16 0:51
10,0,0,0,Clear,16.1,02-01-16 1:51
10,0,0,0,Clear,16.1,02-01-16 2:51
10,0,0,0,Clear,16.1,02-01-16 3:51
10,0,0,0,Clear,16.1,02-01-16 4:51
10,0,0,0,Clear,16.1,02-01-16 5:51
9.4,0,0,0,Clear,16.1,02-01-16 6:51
10,0,0,0,Clear,16.1,02-01-16 7:51
10.6,0,0,0,Mostly Cloudy,16.1,02-01-16 8:51
11.1,0,0,0,Clear,16.1,02-01-16 9:51
12.8,0,0,0,Clear,16.1,02-01-16 10:51
