vintage,price,winter.rain,harvest.rain,grow.temp,harvest.temp,purchasing.power,age
1952,57,583.0,226.0,17.7,14.3,7785.5,69
1953,80,690.0,133.0,16.6,17.3,8022.8,68
1954,8,418.0,125.0,15.1,16.8,8328.1,67
1955,65,621.0,96.0,17.2,16.8,8683.1,66
1956,18,445.0,73.0,15.3,17.3,9129.6,65
1957,34,479.0,105.0,16.1,16.2,9489.1,64
1958,26,718.0,79.0,15.9,19.1,9553.3,63
1959,82,506.0,203.0,17.2,18.7,9644.6,62
1960,15,679.0,420.0,16.6,15.8,10236.1,61
1961,100,602.7,117.0,16.7,20.4,10624.0,60
1962,52,595.1,106.5,16.1,17.2,11160.5,59
1963,23,595.2,118.0,15.5,16.2,11691.7,58
1964,49,452.5,259.8,16.9,18.9,12304.8,57
1965,4,494.9,236.0,15.5,14.8,12726.1,56
1966,67,1050.2,201.0,16.1,18.4,13265.6,55
1967,28,663.4,200.0,16.2,16.6,13810.6,54
1968,4,580.2,164.8,16.1,16.6,14306.9,53
1969,8,643.5,226.0,16.6,16.5,15180.7,52
1970,60,657.8,53.3,16.4,18.0,15895.5,51
1971,43,684.0,97.0,17.1,17.3,16557.8,50
1972,0,518.0,58.0,15.3,15.1,17166.9,49
1973,20,447.0,195.0,17.2,18.5,18122.7,48
1974,4,546.0,251.0,16.4,16.5,18764.9,47
1975,48,508.0,161.0,17.1,17.8,18494.8,46
1976,40,406.0,286.0,18.1,16.6,19315.3,45
1977,4,826.0,65.0,15.7,17.3,19850.1,44
1978,43,810.0,37.0,15.8,17.8,20541.1,43
1979,32,880.0,138.0,16.2,17.8,21170.0,42
1980,15,742.0,207.0,15.8,18.9,21435.9,41
1981,23,499.0,218.0,16.8,18.0,21505.9,40
1982,57,763.0,297.0,17.2,18.5,21993.0,39
1983,23,780.0,63.0,17.3,17.8,22078.4,38
1984,4,797.0,236.0,16.6,16.0,22234.0,37
1985,26,766.0,18.0,16.4,18.9,22555.6,36
1986,32,715.0,200.0,16.0,17.5,23110.9,35
1987,18,461.0,217.0,16.6,18.9,23616.4,34
1988,23,850.0,92.0,17.2,17.5,24571.3,33
1989,36,499.7,68.0,18.5,18.2,25289.1,32
